Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-28 15:35:52,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-69,843.10",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,137,,,,Total Trades,174,,,
,,Win Rate,78.74%,,,,Losing Trades,37,,,
,,Net P&L,"-69,843.10",,,,Gross P&L,"-69,843.16",,,
,,Best Trade,"4,760.27",,,,Profit Factor,0.68,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-9,992.00",,,
,,Return %,-69.84%,,,,Final Capital,"30,156.90",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-28 09:30:54,2025-10-28 09:31:01,220.8,228,150,1080,21.87,1058.13,Take Profit 1,0
,2,2025-10-28 09:30:54,2025-10-28 09:31:16,220.8,223.65,300,855,42.9,812.1,Trailing Stop,0
,3,2025-10-28 09:31:25,2025-10-28 09:32:37,225.9,232.75,150,1027.5,22.32,1005.18,Take Profit 1,1
,4,2025-10-28 09:31:25,2025-10-28 09:32:48,225.9,241.3,75,1155,11.57,1143.43,Take Profit 2,1
,5,2025-10-28 09:31:25,2025-10-28 09:32:53,225.9,246.75,75,1563.75,11.83,1551.92,Take Profit 3,1
,6,2025-10-28 09:31:25,2025-10-28 09:33:06,225.9,257.8,150,4785,24.73,4760.27,Take Profit 4,1
,7,2025-10-28 09:33:07,2025-10-28 09:33:18,260.55,266.25,150,855,25.54,829.46,Take Profit 1,0
,8,2025-10-28 09:33:07,2025-10-28 09:33:21,260.55,263.3,225,618.75,37.88,580.87,Trailing Stop,0
,9,2025-10-28 09:35:14,2025-10-28 09:40:49,267.45,251,375,-6168.75,60.18,-6228.93,Stop Loss,5
,10,2025-10-28 09:41:13,2025-10-28 09:41:30,258.85,264,150,772.5,25.32,747.18,Take Profit 1,0
,11,2025-10-28 09:41:13,2025-10-28 09:41:37,258.85,259.55,225,157.5,37.34,120.16,Trailing Stop,0
,12,2025-10-28 09:41:51,2025-10-28 09:41:56,262.8,268.1,150,795,25.71,769.29,Take Profit 1,0
,13,2025-10-28 09:41:51,2025-10-28 09:42:18,262.8,274.85,75,903.75,13.18,890.57,Take Profit 2,0
,14,2025-10-28 09:41:51,2025-10-28 09:42:42,262.8,272.65,150,1477.5,26.15,1451.35,Trailing Stop,0
,15,2025-10-28 09:46:37,2025-10-28 09:48:00,263.95,248,375,-5981.25,59.46,-6040.71,Stop Loss,1
,16,2025-10-28 09:48:38,2025-10-28 09:50:09,257.2,242.05,375,-5681.25,58.04,-5739.29,Stop Loss,1
,17,2025-10-28 09:51:08,2025-10-28 09:51:24,241.75,246.9,150,772.5,23.68,748.82,Take Profit 1,0
,18,2025-10-28 09:51:08,2025-10-28 09:51:33,241.75,247.25,225,1237.5,35.57,1201.93,Trailing Stop,0
,19,2025-10-28 09:54:33,2025-10-28 09:54:54,203.7,209.4,150,855,20.08,834.92,Take Profit 1,0
,20,2025-10-28 09:54:33,2025-10-28 09:55:02,203.7,205.35,300,495,39.39,455.61,Trailing Stop,0
,21,2025-10-28 09:55:12,2025-10-28 09:56:04,208.25,213.4,150,772.5,20.47,752.03,Take Profit 1,0
