Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-27 15:10:02,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-24,684.91",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,50,,,,Total Trades,63,,,
,,Win Rate,79.37%,,,,Losing Trades,13,,,
,,Net P&L,"-24,684.91",,,,Gross P&L,"-24,684.93",,,
,,Best Trade,"3,507.06",,,,Profit Factor,0.71,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-8,737.24",,,
,,Return %,-24.68%,,,,Final Capital,"75,315.09",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-27 11:32:56,2025-10-27 11:41:04,170.7,154.5,525,-8505,51.86,-8556.86,Stop Loss,8
,2,2025-10-27 11:41:53,2025-10-27 11:43:04,157.35,162.4,150,757.5,15.58,741.92,Take Profit 1,1
,3,2025-10-27 11:41:53,2025-10-27 11:43:57,157.35,157.25,375,-37.5,37.7,-75.2,Trailing Stop,2
,4,2025-10-27 11:44:12,2025-10-27 11:45:11,159.8,144.15,525,-8216.25,48.39,-8264.64,Stop Loss,0
,5,2025-10-27 11:45:33,2025-10-27 11:48:14,148.4,153.5,150,765,14.72,750.28,Take Profit 1,2
,6,2025-10-27 11:45:33,2025-10-27 11:49:42,148.4,155,375,2475,37.17,2437.83,Trailing Stop,4
,7,2025-10-27 11:50:09,2025-10-27 11:52:20,158.75,164.65,150,885,15.79,869.21,Take Profit 1,2
,8,2025-10-27 11:50:09,2025-10-27 11:53:20,158.75,161.25,375,937.5,38.66,898.84,Trailing Stop,3
,9,2025-10-27 11:53:48,2025-10-27 11:55:34,163.5,168.5,150,750,16.16,733.84,Take Profit 1,1
,10,2025-10-27 11:53:48,2025-10-27 11:57:28,163.5,175.5,150,1800,16.83,1783.17,Take Profit 2,3
,11,2025-10-27 11:53:48,2025-10-27 11:59:46,163.5,184.85,75,1601.25,8.86,1592.39,Take Profit 3,5
,12,2025-10-27 11:53:48,2025-10-27 12:00:12,163.5,187,150,3525,17.94,3507.06,Trailing Stop,6
