Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-20 16:02:18,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-42,463.41",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,48,,,,Total Trades,60,,,
,,Win Rate,80.00%,,,,Losing Trades,12,,,
,,Net P&L,"-42,463.41",,,,Gross P&L,"-42,463.41",,,
,,Best Trade,"7,322.66",,,,Profit Factor,0.80,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-30,245.70",,,
,,Return %,-42.46%,,,,Final Capital,"57,536.59",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-20 11:53:50,2025-10-20 12:00:46,68.8,73.85,525,2651.25,24.79,2626.46,Take Profit 1,6
,2,2025-10-20 11:53:50,2025-10-20 12:01:35,68.8,73.25,900,4005,42.15,3962.85,Trailing Stop,7
,3,2025-10-20 12:02:19,2025-10-20 12:15:24,76.5,82.05,525,2913.75,27.54,2886.21,Take Profit 1,13
,4,2025-10-20 12:02:19,2025-10-20 12:16:23,76.5,80.75,825,3506.25,42.6,3463.65,Trailing Stop,14
,5,2025-10-20 12:17:54,2025-10-20 12:18:12,73.5,78.55,600,3030,30.13,2999.87,Take Profit 1,0
,6,2025-10-20 12:17:54,2025-10-20 12:18:52,73.5,73.85,900,315,42.5,272.5,Trailing Stop,0
,7,2025-10-20 12:20:22,2025-10-20 12:28:49,74.4,79.5,600,3060,30.5,3029.5,Take Profit 1,8
,8,2025-10-20 12:20:22,2025-10-20 12:29:38,74.4,74.1,900,-270,42.64,-312.64,Trailing Stop,9
,9,2025-10-20 12:30:16,2025-10-20 12:40:38,77.45,83,600,3330,31.84,3298.16,Take Profit 1,10
,10,2025-10-20 12:30:16,2025-10-20 12:41:58,77.45,91.5,450,6322.5,26.33,6296.17,Take Profit 2,11
,11,2025-10-20 12:30:16,2025-10-20 12:42:29,77.45,97.8,300,6105,18.76,6086.24,Take Profit 3,12
,12,2025-10-20 12:30:16,2025-10-20 12:43:02,77.45,90.85,150,2010,8.71,2001.29,Trailing Stop,12
,13,2025-10-20 12:44:12,2025-10-20 12:50:13,91,96.75,525,3018.75,32.48,2986.27,Take Profit 1,6
,14,2025-10-20 12:44:12,2025-10-20 12:50:29,91,103.6,375,4725,24.84,4700.16,Take Profit 2,6
,15,2025-10-20 12:44:12,2025-10-20 12:50:42,91,99.5,525,4462.5,33.4,4429.1,Trailing Stop,6
,16,2025-10-20 12:50:43,2025-10-20 12:57:01,100.85,106.85,525,3150,35.87,3114.13,Take Profit 1,6
,17,2025-10-20 12:50:43,2025-10-20 12:57:24,100.85,106.4,900,4995,61.23,4933.77,Trailing Stop,6
,18,2025-10-20 12:57:48,2025-10-20 13:01:25,108.25,113.35,525,2677.5,38.05,2639.45,Take Profit 1,3
,19,2025-10-20 12:57:48,2025-10-20 13:02:07,108.25,111.95,900,3330,64.42,3265.58,Trailing Stop,4
,20,2025-10-20 13:02:12,2025-10-20 13:02:57,114.65,120.7,525,3176.25,40.52,3135.73,Take Profit 1,0
,21,2025-10-20 13:02:12,2025-10-20 13:03:36,114.65,118.7,825,3341.25,62.61,3278.64,Trailing Stop,1
,22,2025-10-20 13:03:55,2025-10-20 13:06:03,124.5,129.55,525,2651.25,43.49,2607.76,Take Profit 1,2
,23,2025-10-20 13:03:55,2025-10-20 13:06:41,124.5,128.25,825,3093.75,67.65,3026.1,Trailing Stop,2
,24,2025-10-20 13:07:23,2025-10-20 13:15:43,127.9,110.2,1350,-23895,95.12,-23990.12,Stop Loss,8
,25,2025-10-20 13:16:25,2025-10-20 13:18:08,113.2,98.2,1275,-19125,80.06,-19205.06,Stop Loss,1
,26,2025-10-20 13:19:32,2025-10-20 13:19:57,97.75,103.45,450,2565,29.77,2535.23,Take Profit 1,0
,27,2025-10-20 13:19:32,2025-10-20 13:20:15,97.75,98.85,825,907.5,52.14,855.36,Trailing Stop,0
,28,2025-10-20 13:20:38,2025-10-20 13:29:02,102.9,109.95,450,3172.5,31.64,3140.86,Take Profit 1,8
,29,2025-10-20 13:20:38,2025-10-20 13:29:28,102.9,105.9,825,2475,55.86,2419.14,Trailing Stop,8
,30,2025-10-20 13:29:50,2025-10-20 13:30:20,108.3,114.15,450,2632.5,32.84,2599.66,Take Profit 1,0
,31,2025-10-20 13:29:50,2025-10-20 13:31:00,108.3,109,825,577.5,57.5,520,Trailing Stop,1
,32,2025-10-20 13:32:15,2025-10-20 13:35:04,105.45,88.7,1350,-22612.5,76.56,-22689.06,Stop Loss,2
,33,2025-10-20 13:36:07,2025-10-20 13:43:33,95.1,80.05,1200,-18060,61.42,-18121.42,Stop Loss,7
,34,2025-10-20 13:44:06,2025-10-20 13:45:55,84.85,90.1,450,2362.5,25.92,2336.58,Take Profit 1,1
,35,2025-10-20 13:44:06,2025-10-20 13:46:48,84.85,86.75,750,1425,41.6,1383.4,Trailing Stop,2
,36,2025-10-20 13:47:39,2025-10-20 13:48:59,87.15,71.6,1200,-18660,54.94,-18714.94,Stop Loss,1
,37,2025-10-20 13:51:50,2025-10-20 13:52:41,67.35,72.35,450,2250,20.82,2229.18,Take Profit 1,0
,38,2025-10-20 13:51:50,2025-10-20 13:54:29,67.35,72.1,825,3918.75,38.03,3880.72,Trailing Stop,2
,39,2025-10-20 13:55:04,2025-10-20 14:07:15,71.65,55.75,1275,-20272.5,45.45,-20317.95,Stop Loss,12
,40,2025-10-20 14:08:40,2025-10-20 14:13:41,60.35,67.4,450,3172.5,19.39,3153.11,Take Profit 1,5
,41,2025-10-20 14:08:40,2025-10-20 14:14:57,60.35,73.7,300,4005,14.14,3990.86,Take Profit 2,6
,42,2025-10-20 14:08:40,2025-10-20 14:15:11,60.35,81.6,225,4781.25,11.74,4769.51,Take Profit 3,6
,43,2025-10-20 14:08:40,2025-10-20 14:16:06,60.35,91.05,225,6907.5,13.1,6894.4,Take Profit 4,7
,44,2025-10-20 14:16:08,2025-10-20 14:16:51,90.65,74.7,975,-15551.25,46.57,-15597.82,Stop Loss,0
,45,2025-10-20 14:18:06,2025-10-20 14:20:56,66.65,51.6,1125,-16931.25,37.12,-16968.37,Stop Loss,2
,46,2025-10-20 14:21:33,2025-10-20 14:28:20,48.7,32.3,1200,-19680,24.78,-19704.78,Stop Loss,6
,47,2025-10-20 14:32:12,2025-10-20 14:32:32,27.55,33.5,525,3123.75,11.25,3112.5,Take Profit 1,0
,48,2025-10-20 14:32:12,2025-10-20 14:33:25,27.55,32.85,825,4372.5,17.33,4355.17,Trailing Stop,1
,49,2025-10-20 14:33:45,2025-10-20 14:38:04,35.5,40.8,450,2385,11.74,2373.26,Take Profit 1,4
,50,2025-10-20 14:33:45,2025-10-20 14:38:14,35.5,33.7,825,-1485,17.78,-1502.78,Trailing Stop,4
,51,2025-10-20 14:39:55,2025-10-20 14:48:54,23.7,29,750,3975,13.91,3961.09,Take Profit 1,8
,52,2025-10-20 14:39:55,2025-10-20 14:50:13,23.7,26.7,1200,3600,20.49,3579.51,Trailing Stop,10
,53,2025-10-20 14:51:07,2025-10-20 14:56:40,25.45,30.9,825,4496.25,16.3,4479.95,Take Profit 1,5
,54,2025-10-20 14:51:07,2025-10-20 14:57:00,25.45,28.6,1275,4016.25,23.32,3992.93,Trailing Stop,5
,55,2025-10-20 14:57:47,2025-10-20 15:00:07,32.1,16.6,1950,-30225,20.7,-30245.7,Stop Loss,2
,56,2025-10-20 15:00:37,2025-10-20 15:01:34,25.25,30.4,450,2317.5,8.75,2308.75,Take Profit 1,0
,57,2025-10-20 15:00:37,2025-10-20 15:02:43,25.25,31.3,825,4991.25,16.51,4974.74,Trailing Stop,2
,58,2025-10-20 15:04:18,2025-10-20 15:06:55,26.6,32.1,600,3300,12.31,3287.69,Take Profit 1,2
,59,2025-10-20 15:04:18,2025-10-20 15:09:29,26.6,38.65,450,5422.5,11.12,5411.38,Take Profit 2,5
,60,2025-10-20 15:04:18,2025-10-20 15:10:00,26.6,42.9,450,7335,12.34,7322.66,Session End,5
