Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-24 11:59:49,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"3,856.07",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,11,,,,Total Trades,13,,,
,,Win Rate,84.62%,,,,Losing Trades,2,,,
,,Net P&L,"3,856.07",,,,Gross P&L,"3,856.08",,,
,,Best Trade,896.46,,,,Profit Factor,8.69,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,-471.72,,,
,,Return %,3.86%,,,,Final Capital,"103,856.07",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-24 11:21:37,2025-10-24 11:35:19,133.75,138.8,75,378.75,6.66,372.09,Take Profit 1,13
,2,2025-10-24 11:21:37,2025-10-24 11:35:32,133.75,135.15,75,105,6.48,98.52,Trailing Stop,13
,3,2025-10-24 11:36:13,2025-10-24 11:36:25,137.5,142.7,75,390,6.84,383.16,Take Profit 1,0
,4,2025-10-24 11:36:13,2025-10-24 11:37:41,137.5,142.15,75,348.75,6.82,341.93,Trailing Stop,1
,5,2025-10-24 11:38:26,2025-10-24 11:41:34,139.9,144.9,75,375,6.95,368.05,Take Profit 1,3
,6,2025-10-24 11:38:26,2025-10-24 11:42:34,139.9,151.95,75,903.75,7.29,896.46,Take Profit 2,4
,7,2025-10-24 11:42:44,2025-10-24 11:45:40,151.1,158.95,75,588.75,7.62,581.13,Take Profit 1,2
,8,2025-10-24 11:42:44,2025-10-24 11:48:27,151.1,155.5,75,330,7.46,322.54,Trailing Stop,5
,9,2025-10-24 11:50:56,2025-10-24 11:51:32,152.5,158.2,75,427.5,7.59,419.91,Take Profit 1,0
,10,2025-10-24 11:50:56,2025-10-24 11:51:58,152.5,155.3,75,210,7.45,202.55,Trailing Stop,1
,11,2025-10-24 11:55:08,2025-10-24 11:56:24,151.95,157,75,378.75,7.53,371.22,Take Profit 1,1
,12,2025-10-24 11:55:08,2025-10-24 11:57:20,151.95,151.65,75,-22.5,7.27,-29.77,Trailing Stop,2
,13,2025-10-24 11:59:01,2025-10-24 11:59:49,151.35,148.3,150,-457.5,14.22,-471.72,Stop Requested,0
