Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-29 16:07:15,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"17,211.99",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,69,,,,Total Trades,78,,,
,,Win Rate,88.46%,,,,Losing Trades,9,,,
,,Net P&L,"17,211.99",,,,Gross P&L,"17,212.00",,,
,,Best Trade,"1,883.05",,,,Profit Factor,1.46,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-6,215.82",,,
,,Return %,17.21%,,,,Final Capital,"117,211.99",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-29 09:20:11,2025-10-29 09:23:38,250.6,235.2,375,-5775,56.4,-5831.4,Stop Loss,3
,2,2025-10-29 09:24:23,2025-10-29 09:25:04,247.45,252.6,150,772.5,24.23,748.27,Take Profit 1,0
,3,2025-10-29 09:24:23,2025-10-29 09:25:46,247.45,252,225,1023.75,36.25,987.5,Trailing Stop,1
,4,2025-10-29 09:26:33,2025-10-29 09:26:54,257.15,262.9,75,431.25,12.61,418.64,Take Profit 1,0
,5,2025-10-29 09:26:33,2025-10-29 09:28:12,257.15,269.55,75,930,12.93,917.07,Take Profit 2,1
,6,2025-10-29 09:26:33,2025-10-29 09:28:59,257.15,265.4,150,1237.5,25.45,1212.05,Trailing Stop,2
,7,2025-10-29 09:30:06,2025-10-29 09:34:41,271.2,254.6,300,-4980,48.84,-5028.84,Stop Loss,4
,8,2025-10-29 09:39:51,2025-10-29 09:45:08,236.1,242.4,150,945,23.25,921.75,Take Profit 1,5
,9,2025-10-29 09:39:51,2025-10-29 09:46:04,236.1,239.55,225,776.25,34.46,741.79,Trailing Stop,6
,10,2025-10-29 09:46:04,2025-10-29 09:46:57,243.6,248.8,150,780,23.86,756.14,Take Profit 1,0
,11,2025-10-29 09:46:04,2025-10-29 09:47:48,243.6,247.2,225,810,35.56,774.44,Trailing Stop,1
,12,2025-10-29 09:52:57,2025-10-29 09:55:56,240,245,150,750,23.5,726.5,Take Profit 1,2
,13,2025-10-29 09:52:57,2025-10-29 09:57:52,240,244.7,225,1057.5,35.2,1022.3,Trailing Stop,4
,14,2025-10-29 10:00:46,2025-10-29 10:11:34,249.15,254.8,150,847.5,24.44,823.06,Take Profit 1,10
,15,2025-10-29 10:00:46,2025-10-29 10:11:44,249.15,261.6,75,933.75,12.55,921.2,Take Profit 2,10
,16,2025-10-29 10:00:46,2025-10-29 10:12:14,249.15,260.7,150,1732.5,25,1707.5,Trailing Stop,11
,17,2025-10-29 10:18:27,2025-10-29 10:20:51,250.55,256.8,150,937.5,24.63,912.87,Take Profit 1,2
,18,2025-10-29 10:18:27,2025-10-29 10:21:10,250.55,252.2,225,371.25,36.28,334.97,Trailing Stop,2
,19,2025-10-29 10:22:00,2025-10-29 10:23:02,258.2,263.6,150,810,25.28,784.72,Take Profit 1,1
