Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-27 15:10:00,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"39,594.65",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,25,,,,Total Trades,29,,,
,,Win Rate,86.21%,,,,Losing Trades,4,,,
,,Net P&L,"39,594.65",,,,Gross P&L,"39,594.65",,,
,,Best Trade,"11,510.07",,,,Profit Factor,1.63,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-36,009.11",,,
,,Return %,39.59%,,,,Final Capital,"139,594.65",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-27 11:57:44,2025-10-27 12:29:38,65.7,70.75,600,3030,27.14,3002.86,Take Profit 1,31
,2,2025-10-27 11:57:44,2025-10-27 12:32:25,65.7,71.8,900,5490,41.32,5448.68,Trailing Stop,34
,3,2025-10-27 12:33:41,2025-10-27 12:37:39,68.3,73.5,600,3120,28.2,3091.8,Take Profit 1,3
,4,2025-10-27 12:33:41,2025-10-27 12:39:40,68.3,67.85,975,-438.75,42.3,-481.05,Trailing Stop,5
,5,2025-10-27 12:40:15,2025-10-27 12:49:58,70.3,75.7,600,3240,29.04,3210.96,Take Profit 1,9
,6,2025-10-27 12:40:15,2025-10-27 12:50:38,70.3,72.9,975,2535,45.45,2489.55,Trailing Stop,10
,7,2025-10-27 12:51:54,2025-10-27 13:09:59,72.75,77.95,600,3120,29.9,3090.1,Take Profit 1,18
,8,2025-10-27 12:51:54,2025-10-27 13:13:35,72.75,73.05,975,292.5,45.54,246.96,Trailing Stop,21
,9,2025-10-27 13:13:48,2025-10-27 13:17:07,74.9,79.9,600,3000,30.65,2969.35,Take Profit 1,3
,10,2025-10-27 13:13:48,2025-10-27 13:17:58,74.9,86.95,450,5422.5,25.02,5397.48,Take Profit 2,4
,11,2025-10-27 13:13:48,2025-10-27 13:18:59,74.9,83.05,525,4278.75,27.88,4250.87,Trailing Stop,5
,12,2025-10-27 13:19:37,2025-10-27 13:21:27,87.8,95.75,600,4770,36.73,4733.27,Take Profit 1,1
,13,2025-10-27 13:19:37,2025-10-27 13:21:58,87.8,100,450,5490,28.77,5461.23,Take Profit 2,2
,14,2025-10-27 13:19:37,2025-10-27 13:22:41,87.8,94.9,450,3195,27.31,3167.69,Trailing Stop,3
,15,2025-10-27 13:25:31,2025-10-27 13:26:46,82.6,87.9,675,3577.5,37.94,3539.56,Take Profit 1,1
,16,2025-10-27 13:25:31,2025-10-27 13:27:56,82.6,85.35,1050,2887.5,57.3,2830.2,Trailing Stop,2
,17,2025-10-27 13:29:29,2025-10-27 13:29:58,84.85,90,675,3476.25,38.84,3437.41,Take Profit 1,0
,18,2025-10-27 13:29:29,2025-10-27 13:30:44,84.85,87.95,1050,3255,59.05,3195.95,Trailing Stop,1
,19,2025-10-27 13:31:03,2025-10-27 13:49:47,91.25,76.15,1725,-26047.5,83.99,-26131.49,Stop Loss,18
,20,2025-10-27 13:50:27,2025-10-27 14:11:00,72.3,77.4,675,3442.5,33.41,3409.09,Take Profit 1,20
,21,2025-10-27 13:50:27,2025-10-27 14:11:45,72.3,74.15,1125,2081.25,53.34,2027.91,Trailing Stop,21
,22,2025-10-27 14:12:22,2025-10-27 14:13:21,76.1,81.4,675,3577.5,35.13,3542.37,Take Profit 1,0
,23,2025-10-27 14:12:22,2025-10-27 14:15:00,76.1,80.75,1125,5231.25,58.09,5173.16,Trailing Stop,2
,24,2025-10-27 14:19:36,2025-10-27 14:21:56,64.9,69.9,900,4500,40.22,4459.78,Take Profit 1,2
,25,2025-10-27 14:19:36,2025-10-27 14:23:47,64.9,64.45,1350,-607.5,55.63,-663.13,Trailing Stop,4
,26,2025-10-27 14:25:00,2025-10-27 14:45:44,61.7,67.4,900,5130,38.79,5091.21,Take Profit 1,20
,27,2025-10-27 14:25:00,2025-10-27 14:47:28,61.7,73.75,675,8133.75,31.83,8101.92,Take Profit 2,22
,28,2025-10-27 14:25:00,2025-10-27 14:50:22,61.7,75.7,825,11550,39.93,11510.07,Trailing Stop,25
,29,2025-10-27 14:51:07,2025-10-27 15:09:33,74.55,59.1,2325,-35921.25,87.86,-36009.11,Stop Loss,18
