Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-30 15:10:01,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"23,313.50",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,80,,,,Total Trades,93,,,
,,Win Rate,86.02%,,,,Losing Trades,13,,,
,,Net P&L,"23,313.50",,,,Gross P&L,"23,313.48",,,
,,Best Trade,"4,491.52",,,,Profit Factor,1.30,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-9,168.38",,,
,,Return %,23.31%,,,,Final Capital,"123,313.50",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-30 09:27:01,2025-10-30 09:30:08,171.2,177.1,150,885,16.99,868.01,Take Profit 1,3
,2,2025-10-30 09:27:01,2025-10-30 09:31:20,171.2,183.5,150,1845,17.6,1827.4,Take Profit 2,4
,3,2025-10-30 09:27:01,2025-10-30 09:32:28,171.2,192.35,75,1586.25,9.22,1577.03,Take Profit 3,5
,4,2025-10-30 09:27:01,2025-10-30 09:33:29,171.2,192.75,150,3232.5,18.49,3214.01,Trailing Stop,6
,5,2025-10-30 09:33:39,2025-10-30 09:34:01,198.15,203.3,150,772.5,19.5,753,Take Profit 1,0
,6,2025-10-30 09:33:39,2025-10-30 09:35:24,198.15,203.7,375,2081.25,48.84,2032.41,Trailing Stop,1
,7,2025-10-30 09:37:01,2025-10-30 09:37:24,207,212.65,150,847.5,20.4,827.1,Take Profit 1,0
,8,2025-10-30 09:37:01,2025-10-30 09:38:11,207,206.3,375,-262.5,49.47,-311.97,Trailing Stop,1
,9,2025-10-30 09:40:19,2025-10-30 09:40:58,209.95,215.05,150,765,20.63,744.37,Take Profit 1,0
,10,2025-10-30 09:40:19,2025-10-30 09:41:24,209.95,213.15,375,1200,51.11,1148.89,Trailing Stop,1
,11,2025-10-30 09:41:37,2025-10-30 09:42:51,217.25,222.5,150,787.5,21.34,766.16,Take Profit 1,1
,12,2025-10-30 09:41:37,2025-10-30 09:43:59,217.25,222.25,300,1500,42.63,1457.37,Trailing Stop,2
,13,2025-10-30 09:45:03,2025-10-30 09:45:13,226.1,231.1,150,750,22.16,727.84,Take Profit 1,0
,14,2025-10-30 09:45:03,2025-10-30 09:45:46,226.1,228.65,300,765,43.86,721.14,Trailing Stop,0
,15,2025-10-30 09:48:50,2025-10-30 09:51:08,226.45,210.3,450,-7267.5,60.51,-7328.01,Stop Loss,2
,16,2025-10-30 09:51:23,2025-10-30 09:52:01,214.7,220.35,150,847.5,21.13,826.37,Take Profit 1,0
