Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-31 16:38:57,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-20,851.04",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,42,,,,Total Trades,54,,,
,,Win Rate,77.78%,,,,Losing Trades,12,,,
,,Net P&L,"-20,851.04",,,,Gross P&L,"-20,851.07",,,
,,Best Trade,"2,045.40",,,,Profit Factor,0.60,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-6,839.63",,,
,,Return %,-20.85%,,,,Final Capital,"79,148.96",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,44,2025-10-31 13:50:01,2025-10-31 14:01:29,162.4,167.45,150,757.5,16.06,741.44,Take Profit 1,11
,45,2025-10-31 13:50:01,2025-10-31 14:03:31,162.4,174.6,75,915,8.37,906.63,Take Profit 2,13
,46,2025-10-31 13:50:01,2025-10-31 14:04:44,162.4,172,150,1440,16.5,1423.5,Trailing Stop,14
,47,2025-10-31 14:09:08,2025-10-31 14:13:50,165.95,170.95,150,750,16.4,733.6,Take Profit 1,4
,48,2025-10-31 14:09:08,2025-10-31 14:15:23,165.95,166,225,11.25,23.88,-12.63,Trailing Stop,6
,49,2025-10-31 14:19:24,2025-10-31 14:27:17,161.8,166.95,150,772.5,16.01,756.49,Take Profit 1,7
,50,2025-10-31 14:19:24,2025-10-31 14:33:30,161.8,174.75,75,971.25,8.38,962.87,Take Profit 2,14
,51,2025-10-31 14:19:24,2025-10-31 14:34:23,161.8,171,225,2070,24.6,2045.4,Trailing Stop,14
,52,2025-10-31 14:38:44,2025-10-31 14:39:09,167.15,172.4,150,787.5,16.53,770.97,Take Profit 1,0
,53,2025-10-31 14:38:44,2025-10-31 14:40:01,167.15,166.95,300,-60,32.02,-92.02,Trailing Stop,1
,54,2025-10-31 14:40:21,2025-10-31 14:50:00,170,168.35,450,-742.5,48.44,-790.94,Session End,9
