Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-30 15:10:01,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-31,141.67",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,36,,,,Total Trades,46,,,
,,Win Rate,78.26%,,,,Losing Trades,10,,,
,,Net P&L,"-31,141.67",,,,Gross P&L,"-31,141.70",,,
,,Best Trade,"3,156.42",,,,Profit Factor,0.53,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-7,099.08",,,
,,Return %,-31.14%,,,,Final Capital,"68,858.33",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-30 09:25:28,2025-10-30 09:30:10,212.3,196.65,450,-7042.5,56.58,-7099.08,Stop Loss,4
,2,2025-10-30 09:36:28,2025-10-30 09:45:05,179.45,164.4,450,-6772.5,47.3,-6819.8,Stop Loss,8
,3,2025-10-30 09:50:13,2025-10-30 09:53:53,171.95,156.95,450,-6750,45.16,-6795.16,Stop Loss,3
,4,2025-10-30 10:00:36,2025-10-30 10:04:54,155.7,160.75,150,757.5,15.42,742.08,Take Profit 1,4
,5,2025-10-30 10:00:36,2025-10-30 10:05:10,155.7,167.9,75,915,8.05,906.95,Take Profit 2,4
,6,2025-10-30 10:00:36,2025-10-30 10:06:14,155.7,167.9,225,2745,24.15,2720.85,Trailing Stop,5
,7,2025-10-30 10:06:47,2025-10-30 10:07:36,172,177.05,150,757.5,16.98,740.52,Take Profit 1,0
,8,2025-10-30 10:06:47,2025-10-30 10:08:27,172,173.7,300,510,33.32,476.68,Trailing Stop,1
,9,2025-10-30 10:09:15,2025-10-30 10:14:29,175.85,181,150,772.5,17.36,755.14,Take Profit 1,5
,10,2025-10-30 10:09:15,2025-10-30 10:14:47,175.85,188.8,75,971.25,9.05,962.2,Take Profit 2,5
,11,2025-10-30 10:09:15,2025-10-30 10:15:31,175.85,190,225,3183.75,27.33,3156.42,Trailing Stop,6
,12,2025-10-30 10:15:46,2025-10-30 10:18:26,193.1,177.55,450,-6997.5,51.09,-7048.59,Stop Loss,2
,13,2025-10-30 10:21:32,2025-10-30 10:22:09,182,187,150,750,17.94,732.06,Take Profit 1,0
,14,2025-10-30 10:21:32,2025-10-30 10:24:49,182,186.75,300,1425,35.82,1389.18,Trailing Stop,3
,15,2025-10-30 10:28:24,2025-10-30 10:31:24,183.85,168.3,450,-6997.5,48.42,-7045.92,Stop Loss,2
,16,2025-10-30 10:31:46,2025-10-30 10:59:25,172.9,157.6,375,-5737.5,37.79,-5775.29,Stop Loss,27
