timestamp,price,volume,symbol
2025-10-17 09:11:50.822478+05:30,96.5,0,
2025-10-17 09:14:58.643167+05:30,83.9,0,
2025-10-17 09:14:58.674413+05:30,75.0,0,
2025-10-17 09:14:59.261097+05:30,73.15,0,
2025-10-17 09:15:00.047801+05:30,68.6,0,
2025-10-17 09:15:00.260559+05:30,67.9,0,
2025-10-17 09:15:01.270569+05:30,66.85,0,
2025-10-17 09:15:01.650026+05:30,65.85,0,
2025-10-17 09:15:02.463028+05:30,65.5,0,
2025-10-17 09:15:03.250282+05:30,66.45,0,
2025-10-17 09:15:03.265908+05:30,66.25,0,
2025-10-17 09:15:04.272776+05:30,65.35,0,
2025-10-17 09:15:05.050725+05:30,66.5,0,
2025-10-17 09:15:05.470010+05:30,66.35,0,
2025-10-17 09:15:06.257389+05:30,64.7,0,
2025-10-17 09:15:06.658392+05:30,65.55,0,
2025-10-17 09:15:07.266061+05:30,65.85,0,
2025-10-17 09:15:08.273265+05:30,65.5,0,
2025-10-17 09:15:08.280261+05:30,65.35,0,
2025-10-17 09:15:09.690575+05:30,66.5,0,
2025-10-17 09:15:09.850529+05:30,66.3,0,
2025-10-17 09:15:10.468002+05:30,68.3,0,
2025-10-17 09:15:11.270901+05:30,68.4,0,
2025-10-17 09:15:11.471485+05:30,68.05,0,
2025-10-17 09:15:12.475315+05:30,66.7,0,
2025-10-17 09:15:13.063716+05:30,66.8,0,
2025-10-17 09:15:13.264439+05:30,67.05,0,
2025-10-17 09:15:14.477799+05:30,65.95,0,
2025-10-17 09:15:14.682957+05:30,66.45,0,
2025-10-17 09:15:15.470732+05:30,67.0,0,
2025-10-17 09:15:16.257981+05:30,66.45,0,
2025-10-17 09:15:16.474185+05:30,67.1,0,
2025-10-17 09:15:17.477725+05:30,67.75,0,
2025-10-17 09:15:17.964012+05:30,67.3,0,
2025-10-17 09:15:18.481121+05:30,68.3,0,
2025-10-17 09:15:19.484607+05:30,70.3,0,
2025-10-17 09:15:19.484607+05:30,70.3,0,
2025-10-17 09:15:20.488583+05:30,71.05,0,
2025-10-17 09:15:21.074754+05:30,70.95,0,
2025-10-17 09:15:21.275394+05:30,70.45,0,
2025-10-17 09:15:22.481786+05:30,71.95,0,
2025-10-17 09:15:22.682376+05:30,72.55,0,
2025-10-17 09:15:23.287664+05:30,73.25,0,
2025-10-17 09:15:24.475960+05:30,72.85,0,
2025-10-17 09:15:24.491562+05:30,72.8,0,
2025-10-17 09:15:25.275565+05:30,73.0,0,
2025-10-17 09:15:26.085241+05:30,74.7,0,
2025-10-17 09:15:26.271933+05:30,75.85,0,
2025-10-17 09:15:27.274954+05:30,76.9,0,
2025-10-17 09:15:27.723013+05:30,76.5,0,
2025-10-17 09:15:28.278014+05:30,77.4,0,
2025-10-17 09:15:28.679248+05:30,77.4,0,
2025-10-17 09:15:29.296692+05:30,79.15,0,
2025-10-17 09:15:29.487673+05:30,78.1,0,
2025-10-17 09:15:30.275280+05:30,78.7,0,
2025-10-17 09:15:30.993078+05:30,78.25,0,
2025-10-17 09:15:31.278452+05:30,80.75,0,
2025-10-17 09:15:32.266002+05:30,81.35,0,
2025-10-17 09:15:32.482238+05:30,81.15,0,
2025-10-17 09:15:33.269107+05:30,80.9,0,
