Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-31 16:39:26,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"19,266.79",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,66,,,,Total Trades,78,,,
,,Win Rate,84.62%,,,,Losing Trades,12,,,
,,Net P&L,"19,266.79",,,,Gross P&L,"19,266.76",,,
,,Best Trade,"3,908.55",,,,Profit Factor,1.23,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-10,339.93",,,
,,Return %,19.27%,,,,Final Capital,"119,266.79",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-31 09:35:13,2025-10-31 09:40:47,114.5,119.5,300,1500,22.92,1477.08,Take Profit 1,5
,2,2025-10-31 09:35:13,2025-10-31 09:41:58,114.5,115.8,525,682.5,38.87,643.63,Trailing Stop,6
,3,2025-10-31 09:43:21,2025-10-31 09:45:20,119.7,124.7,300,1500,23.92,1476.08,Take Profit 1,1
,4,2025-10-31 09:43:21,2025-10-31 09:46:08,119.7,119.85,525,78.75,40.23,38.52,Trailing Stop,2
,5,2025-10-31 09:50:15,2025-10-31 10:03:35,124,129.2,300,1560,24.78,1535.22,Take Profit 1,13
,6,2025-10-31 09:50:15,2025-10-31 10:04:33,124,137,225,2925,19.71,2905.29,Take Profit 2,14
,7,2025-10-31 09:50:15,2025-10-31 10:05:01,124,139.75,150,2362.5,13.4,2349.1,Take Profit 3,14
,8,2025-10-31 09:50:15,2025-10-31 10:05:35,124,141.3,150,2595,13.55,2581.45,Take Profit 4,15
,9,2025-10-31 10:05:55,2025-10-31 10:07:00,140.45,145.9,300,1635,27.99,1607.01,Take Profit 1,1
,10,2025-10-31 10:05:55,2025-10-31 10:08:20,140.45,152.65,225,2745,21.96,2723.04,Take Profit 2,2
,11,2025-10-31 10:05:55,2025-10-31 10:08:27,140.45,155.85,150,2310,14.95,2295.05,Take Profit 3,2
,12,2025-10-31 10:05:55,2025-10-31 10:08:30,140.45,158.25,75,1335,7.59,1327.41,Take Profit 4,2
,13,2025-10-31 10:09:09,2025-10-31 10:15:52,159.05,164.85,300,1740,31.62,1708.38,Take Profit 1,6
,14,2025-10-31 10:09:09,2025-10-31 10:17:20,159.05,160.65,450,720,46.22,673.78,Trailing Stop,8
,15,2025-10-31 10:18:25,2025-10-31 10:21:07,166.2,171.9,225,1282.5,24.73,1257.77,Take Profit 1,2
,16,2025-10-31 10:18:25,2025-10-31 10:22:45,166.2,170.3,450,1845,49,1796,Trailing Stop,4
,17,2025-10-31 10:23:11,2025-10-31 10:26:01,176.6,184.6,225,1800,26.56,1773.44,Take Profit 1,2
,18,2025-10-31 10:23:11,2025-10-31 10:26:59,176.6,179.65,450,1372.5,51.69,1320.81,Trailing Stop,3
,19,2025-10-31 10:31:02,2025-10-31 10:31:17,183.75,189,225,1181.25,27.19,1154.06,Take Profit 1,0
,20,2025-10-31 10:31:02,2025-10-31 10:31:57,183.75,200,150,2437.5,19.18,2418.32,Take Profit 2,0
,21,2025-10-31 10:31:02,2025-10-31 10:31:57,183.75,200,75,1218.75,9.59,1209.16,Take Profit 3,0
,22,2025-10-31 10:31:02,2025-10-31 10:31:58,183.75,201.25,225,3937.5,28.95,3908.55,Take Profit 4,0
,23,2025-10-31 10:32:03,2025-10-31 10:36:58,201.6,207.4,225,1305,29.84,1275.16,Take Profit 1,4
,24,2025-10-31 10:32:03,2025-10-31 10:37:34,201.6,217.35,150,2362.5,20.85,2341.65,Take Profit 2,5
,25,2025-10-31 10:32:03,2025-10-31 10:37:34,201.6,217.35,75,1181.25,10.42,1170.83,Take Profit 3,5
,26,2025-10-31 10:32:03,2025-10-31 10:37:44,201.6,212.15,225,2373.75,30.52,2343.23,Trailing Stop,5
,27,2025-10-31 10:40:39,2025-10-31 10:42:33,215.25,200.15,600,-9060,76.79,-9136.79,Stop Loss,1
,28,2025-10-31 10:46:57,2025-10-31 10:50:17,193,198,225,1125,28.49,1096.51,Take Profit 1,3
,29,2025-10-31 10:46:57,2025-10-31 10:50:33,193,192.5,450,-225,55.39,-280.39,Trailing Stop,3
,30,2025-10-31 10:50:55,2025-10-31 10:53:17,195.65,201.6,225,1338.75,29,1309.75,Take Profit 1,2
,31,2025-10-31 10:50:55,2025-10-31 10:56:10,195.65,201,450,2407.5,57.83,2349.67,Trailing Stop,5
,32,2025-10-31 10:57:41,2025-10-31 10:57:56,204.45,209.5,225,1136.25,30.14,1106.11,Take Profit 1,0
,33,2025-10-31 10:57:41,2025-10-31 11:00:32,204.45,216.9,150,1867.5,20.8,1846.7,Take Profit 2,2
,34,2025-10-31 10:57:41,2025-10-31 11:00:42,204.45,219.95,75,1162.5,10.55,1151.95,Take Profit 3,3
,35,2025-10-31 10:57:41,2025-10-31 11:00:44,204.45,221.9,225,3926.25,31.92,3894.33,Take Profit 4,3
,36,2025-10-31 11:00:45,2025-10-31 11:01:09,224.75,229.9,225,1158.75,33.07,1125.68,Take Profit 1,0
,37,2025-10-31 11:00:45,2025-10-31 11:02:01,224.75,236.95,150,1830,22.73,1807.27,Take Profit 2,1
,38,2025-10-31 11:00:45,2025-10-31 11:02:27,224.75,230.5,225,1293.75,33.16,1260.59,Trailing Stop,1
,39,2025-10-31 11:03:41,2025-10-31 11:12:07,234.25,240.25,225,1350,34.56,1315.44,Take Profit 1,8
,40,2025-10-31 11:03:41,2025-10-31 11:12:22,234.25,238.6,375,1631.25,57.21,1574.04,Trailing Stop,8
,41,2025-10-31 11:12:30,2025-10-31 11:13:25,242.3,227.3,600,-9000,87.2,-9087.2,Stop Loss,0
,42,2025-10-31 11:21:13,2025-10-31 11:29:33,223.35,228.55,225,1170,32.88,1137.12,Take Profit 1,8
,43,2025-10-31 11:21:13,2025-10-31 11:30:06,223.35,226.9,375,1331.25,54.4,1276.85,Trailing Stop,8
,44,2025-10-31 11:30:40,2025-10-31 11:33:52,230,214.3,600,-9420,82.21,-9502.21,Stop Loss,3
,45,2025-10-31 11:38:21,2025-10-31 11:40:02,213.3,218.7,225,1215,31.46,1183.54,Take Profit 1,1
,46,2025-10-31 11:38:21,2025-10-31 11:40:44,213.3,214.35,375,393.75,51.4,342.35,Trailing Stop,2
,47,2025-10-31 11:44:53,2025-10-31 11:45:53,202.7,207.85,225,1158.75,29.9,1128.85,Take Profit 1,1
,48,2025-10-31 11:44:53,2025-10-31 11:47:35,202.7,214.7,150,1800,20.59,1779.41,Take Profit 2,2
,49,2025-10-31 11:44:53,2025-10-31 11:48:32,202.7,211.75,300,2715,40.62,2674.38,Trailing Stop,3
,50,2025-10-31 11:50:23,2025-10-31 11:52:20,217.7,202.55,600,-9090,77.71,-9167.71,Stop Loss,1
,51,2025-10-31 11:56:39,2025-10-31 12:04:24,200.4,185.2,675,-10260,79.93,-10339.93,Stop Loss,7
,52,2025-10-31 12:05:25,2025-10-31 12:09:19,192.95,198,225,1136.25,28.49,1107.76,Take Profit 1,3
,53,2025-10-31 12:05:25,2025-10-31 12:09:59,192.95,193.05,375,37.5,46.29,-8.79,Trailing Stop,4
,54,2025-10-31 12:13:20,2025-10-31 12:13:58,198.4,203.4,225,1125,29.26,1095.74,Take Profit 1,0
,55,2025-10-31 12:13:20,2025-10-31 12:14:51,198.4,211.5,150,1965,20.28,1944.72,Take Profit 2,1
,56,2025-10-31 12:13:20,2025-10-31 12:15:03,198.4,204.4,225,1350,29.41,1320.59,Trailing Stop,1
,57,2025-10-31 12:17:30,2025-10-31 12:23:15,208.1,214.6,225,1462.5,30.87,1431.63,Take Profit 1,5
,58,2025-10-31 12:17:30,2025-10-31 12:26:00,208.1,212.35,375,1593.75,50.92,1542.83,Trailing Stop,8
,59,2025-10-31 12:28:33,2025-10-31 12:33:03,217.4,224,225,1485,32.23,1452.77,Take Profit 1,4
,60,2025-10-31 12:28:33,2025-10-31 12:33:14,217.4,218.45,375,393.75,52.38,341.37,Trailing Stop,4
,61,2025-10-31 12:36:56,2025-10-31 12:40:03,223.65,207.7,600,-9570,79.68,-9649.68,Stop Loss,3
,62,2025-10-31 12:43:41,2025-10-31 13:04:50,212.8,197.4,525,-8085,66.26,-8151.26,Stop Loss,21
,63,2025-10-31 13:06:36,2025-10-31 13:14:38,200.85,206.4,150,832.5,19.8,812.7,Take Profit 1,8
,64,2025-10-31 13:06:36,2025-10-31 13:18:00,200.85,202.55,375,637.5,48.57,588.93,Trailing Stop,11
,65,2025-10-31 13:22:10,2025-10-31 13:24:49,209.3,214.9,150,840,20.61,819.39,Take Profit 1,2
,66,2025-10-31 13:22:10,2025-10-31 13:25:47,209.3,221.5,150,1830,21.24,1808.76,Take Profit 2,3
,67,2025-10-31 13:22:10,2025-10-31 13:26:53,209.3,224.75,75,1158.75,10.78,1147.97,Take Profit 3,4
,68,2025-10-31 13:22:10,2025-10-31 13:27:51,209.3,228.75,150,2917.5,21.94,2895.56,Take Profit 4,5
,69,2025-10-31 13:28:56,2025-10-31 13:36:36,227.5,232.65,150,772.5,22.31,750.19,Take Profit 1,7
,70,2025-10-31 13:28:56,2025-10-31 13:37:57,227.5,228.4,375,337.5,54.76,282.74,Trailing Stop,9
,71,2025-10-31 13:38:37,2025-10-31 13:47:36,231.55,239.7,150,1222.5,22.99,1199.51,Take Profit 1,8
,72,2025-10-31 13:38:37,2025-10-31 13:49:38,231.55,236.6,375,1893.75,56.73,1837.02,Trailing Stop,11
,73,2025-10-31 13:55:01,2025-10-31 14:03:31,228.5,212.5,525,-8400,71.33,-8471.33,Stop Loss,8
,74,2025-10-31 14:07:50,2025-10-31 14:17:20,228.15,233.4,150,787.5,22.39,765.11,Take Profit 1,9
,75,2025-10-31 14:07:50,2025-10-31 14:17:44,228.15,240.35,150,1830,23.05,1806.95,Take Profit 2,9
,76,2025-10-31 14:07:50,2025-10-31 14:18:35,228.15,237.6,225,2126.25,34.18,2092.07,Trailing Stop,10
,77,2025-10-31 14:22:36,2025-10-31 14:33:04,233.45,218.35,525,-7927.5,73.3,-8000.8,Stop Loss,10
,78,2025-10-31 14:44:56,2025-10-31 14:50:00,223,221.9,525,-577.5,74.49,-651.99,Session End,5
