timestamp,price,volume
2025-10-01 09:16:26+05:30,224.85,75
2025-10-01 09:16:26+05:30,225.0,75
2025-10-01 09:16:27+05:30,225.2,225
2025-10-01 09:16:28+05:30,225.2,225
2025-10-01 09:16:28+05:30,226.6,75
2025-10-01 09:16:29+05:30,225.4,75
2025-10-01 09:16:29+05:30,225.4,75
2025-10-01 09:16:30+05:30,225.4,75
2025-10-01 09:16:30+05:30,224.85,75
2025-10-01 09:16:30+05:30,224.95,75
2025-10-01 09:16:31+05:30,225.0,75
2025-10-01 09:16:31+05:30,225.0,75
2025-10-01 09:16:32+05:30,225.85,75
2025-10-01 09:16:33+05:30,225.6,75
2025-10-01 09:16:33+05:30,225.3,75
2025-10-01 09:16:34+05:30,224.95,75
2025-10-01 09:16:34+05:30,224.25,75
2025-10-01 09:16:35+05:30,223.85,75
2025-10-01 09:16:35+05:30,223.65,75
2025-10-01 09:16:36+05:30,222.55,75
2025-10-01 09:16:37+05:30,222.85,75
2025-10-01 09:16:37+05:30,221.55,75
2025-10-01 09:16:38+05:30,221.25,75
2025-10-01 09:16:38+05:30,221.3,75
2025-10-01 09:16:39+05:30,220.65,75
2025-10-01 09:16:39+05:30,220.65,75
2025-10-01 09:16:40+05:30,220.1,75
2025-10-01 09:16:40+05:30,220.75,75
2025-10-01 09:16:41+05:30,219.0,150
2025-10-01 09:16:42+05:30,218.8,75
2025-10-01 09:16:42+05:30,219.05,75
2025-10-01 09:16:43+05:30,219.3,75
2025-10-01 09:16:43+05:30,219.8,75
2025-10-01 09:16:44+05:30,220.95,75
2025-10-01 09:16:45+05:30,221.25,75
2025-10-01 09:16:45+05:30,221.0,75
2025-10-01 09:16:46+05:30,222.6,75
2025-10-01 09:16:46+05:30,223.0,75
2025-10-01 09:16:47+05:30,221.8,75
2025-10-01 09:16:47+05:30,221.0,75
2025-10-01 09:16:48+05:30,221.9,75
2025-10-01 09:16:49+05:30,221.75,375
2025-10-01 09:16:49+05:30,222.2,75
2025-10-01 09:16:50+05:30,222.45,75
2025-10-01 09:16:50+05:30,221.4,75
2025-10-01 09:16:51+05:30,223.95,75
2025-10-01 09:16:51+05:30,223.3,75
2025-10-01 09:16:52+05:30,222.15,150
2025-10-01 09:16:53+05:30,221.75,150
2025-10-01 09:16:53+05:30,222.5,75
2025-10-01 09:16:54+05:30,223.35,75
2025-10-01 09:16:54+05:30,222.65,75
2025-10-01 09:16:55+05:30,222.4,75
2025-10-01 09:16:55+05:30,222.1,75
2025-10-01 09:16:56+05:30,221.65,75
2025-10-01 09:16:56+05:30,222.2,75
2025-10-01 09:16:57+05:30,221.9,75
2025-10-01 09:16:58+05:30,221.0,375
2025-10-01 09:16:58+05:30,221.0,75
2025-10-01 09:16:59+05:30,220.6,75
2025-10-01 09:16:59+05:30,221.3,75
2025-10-01 09:17:00+05:30,221.3,75
2025-10-01 09:17:00+05:30,221.0,75
2025-10-01 09:17:00+05:30,220.6,75
2025-10-01 09:17:01+05:30,220.25,150
2025-10-01 09:17:02+05:30,220.05,75
2025-10-01 09:17:02+05:30,219.75,75
2025-10-01 09:17:03+05:30,219.55,150
2025-10-01 09:17:03+05:30,220.25,75
2025-10-01 09:17:04+05:30,219.35,75
2025-10-01 09:17:04+05:30,219.35,75
2025-10-01 09:17:05+05:30,219.5,75
2025-10-01 09:17:06+05:30,219.0,1200
2025-10-01 09:17:06+05:30,219.05,75
2025-10-01 09:17:07+05:30,218.85,150
2025-10-01 09:17:07+05:30,219.35,75
2025-10-01 09:17:08+05:30,219.45,75
2025-10-01 09:17:08+05:30,219.45,75
2025-10-01 09:17:09+05:30,218.3,75
2025-10-01 09:17:10+05:30,217.8,75
2025-10-01 09:17:10+05:30,217.35,150
2025-10-01 09:17:11+05:30,217.75,75
2025-10-01 09:17:11+05:30,217.75,75
2025-10-01 09:17:12+05:30,219.1,75
2025-10-01 09:17:12+05:30,219.1,75
2025-10-01 09:17:13+05:30,219.05,75
2025-10-01 09:17:14+05:30,218.35,150
2025-10-01 09:17:15+05:30,220.25,75
2025-10-01 09:17:15+05:30,220.05,75
2025-10-01 09:17:15+05:30,220.1,150
2025-10-01 09:17:16+05:30,220.5,75
2025-10-01 09:17:16+05:30,220.5,75
2025-10-01 09:17:17+05:30,221.85,75
2025-10-01 09:17:18+05:30,221.5,75
2025-10-01 09:17:18+05:30,223.55,75
2025-10-01 09:17:19+05:30,222.2,75
2025-10-01 09:17:19+05:30,221.55,75
2025-10-01 09:17:20+05:30,223.2,75
2025-10-01 09:17:20+05:30,223.15,75
2025-10-01 09:17:21+05:30,223.35,150
2025-10-01 09:17:22+05:30,223.6,75
2025-10-01 09:17:22+05:30,222.05,150
2025-10-01 09:17:23+05:30,223.5,75
2025-10-01 09:17:23+05:30,224.05,75
2025-10-01 09:17:24+05:30,226.2,75
2025-10-01 09:17:24+05:30,226.2,75
2025-10-01 09:17:25+05:30,227.0,75
2025-10-01 09:17:26+05:30,225.9,150
2025-10-01 09:17:26+05:30,225.55,75
2025-10-01 09:17:27+05:30,226.35,75
2025-10-01 09:17:27+05:30,226.35,75
2025-10-01 09:17:28+05:30,228.05,300
2025-10-01 09:17:28+05:30,227.85,75
2025-10-01 09:17:29+05:30,227.85,75
2025-10-01 09:17:30+05:30,227.85,75
2025-10-01 09:17:30+05:30,227.5,150
2025-10-01 09:17:30+05:30,228.8,75
2025-10-01 09:17:31+05:30,229.15,225
2025-10-01 09:17:31+05:30,229.45,75
2025-10-01 09:17:32+05:30,229.1,75
2025-10-01 09:17:33+05:30,229.0,75
2025-10-01 09:17:33+05:30,229.15,75
2025-10-01 09:17:34+05:30,227.5,150
2025-10-01 09:17:34+05:30,227.65,75
2025-10-01 09:17:35+05:30,226.8,75
2025-10-01 09:17:35+05:30,226.6,150
2025-10-01 09:17:36+05:30,227.0,450
2025-10-01 09:17:36+05:30,227.45,75
2025-10-01 09:17:37+05:30,227.05,75
2025-10-01 09:17:38+05:30,229.75,150
2025-10-01 09:17:38+05:30,229.6,75
2025-10-01 09:17:39+05:30,228.7,225
2025-10-01 09:17:39+05:30,228.7,225
2025-10-01 09:17:40+05:30,229.75,75
2025-10-01 09:17:41+05:30,230.2,75
2025-10-01 09:17:41+05:30,230.4,75
2025-10-01 09:17:42+05:30,231.0,75
2025-10-01 09:17:42+05:30,231.0,75
2025-10-01 09:17:43+05:30,230.4,300
