Date,Trades,Total_PnL,Avg_PnL,Wins,Losses,Win_Rate
2025-10-01,58,29721.51,512.44,53,5,91.4
2025-10-20,128,-283393.58,-2214.01,100,28,78.1
2025-10-24,128,6919.07,54.06,93,35,72.7
2025-10-27,92,14909.74,162.06,75,17,81.5
2025-10-28,1068,-386506.41,-361.9,849,219,79.5
2025-10-29,369,-35001.27,-94.85,309,60,83.7
2025-10-30,139,-7828.17,-56.32,116,23,83.5
2025-10-31,396,-4752.75,-12.0,324,72,81.8
