Hour,Trades,Total_PnL,Avg_PnL,Median_PnL,Std_PnL,Wins,Losses,Avg_Duration,Median_Duration,Avg_Qty,Avg_Entry_Price,Win_Rate,Avg_Win,Avg_Loss,Session
9,286,-15344.05,-53.65,769.29,3872.7,231,55,2.11,1.0,301.84,198.58,80.8,-66.42,-6169.12,Opening (9:00-9:59)
10,420,236432.65,562.93,1157.12,3994.63,352,68,2.97,2.0,347.86,175.1,83.8,671.68,-6417.09,Morning (10:00-11:59)
11,462,-230228.1,-498.33,846.84,6016.37,381,81,4.05,2.0,310.23,168.44,82.5,-604.27,-9232.36,Morning (10:00-11:59)
12,394,-164728.2,-418.09,860.22,4824.15,314,80,5.86,3.0,348.35,156.04,79.7,-524.61,-7849.74,Afternoon (12:00-13:59)
13,361,-223668.87,-619.58,925.48,5387.43,288,73,4.38,2.0,337.81,131.57,79.8,-776.63,-9509.3,Afternoon (12:00-13:59)
14,388,-291833.21,-752.15,814.84,6029.9,296,92,3.88,2.0,315.27,144.54,76.3,-985.92,-7752.76,Closing (14:00-15:30)
15,67,23437.92,349.82,453.06,3377.77,57,10,1.28,0.0,235.07,92.76,85.1,411.19,-5692.08,Closing (14:00-15:30)
