Time_Block,Count,Total_PnL,Percentage
09:00-09:29,6,-41532.24,1.7
09:30-09:59,29,-234086.57,8.3
10:00-10:29,30,-247440.98,8.6
10:30-10:59,27,-223873.6,7.7
11:00-11:29,23,-303989.6,6.6
11:30-11:59,27,-293456.02,7.7
12:00-12:29,26,-277124.64,7.4
12:30-12:59,38,-477330.36,10.9
13:00-13:29,31,-321483.56,8.9
13:30-13:59,34,-329826.16,9.7
14:00-14:29,31,-317648.52999999997,8.9
14:30-14:59,33,-226201.59,9.5
15:00-15:29,14,-183921.31,4.0
